Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery",,
"California Turkey Burger (bun
contains wheat)
White Cheddar Mac and Cheese
Bar (milk, wheat, soy)
Chili Bar (GF)
Corn Bread (GF)
Breaded Potato Cheddar Bites
(wheat, milk)
Assorted Desserts","BBQ Chicken Thighs (GF)
Corn Dogs (wheat, milk,
soy)
Waffle Fries (wheat)
Assorted Desserts","Black Pepper Beef (soy,
shellfish)
Crispy Chicken Wrap
(wheat, milk)
Tator Bucks (GF)
Assorted Desserts","Beef Brisket Sandwich on a
Brioche Bun (wheat, egg,
milk, soy)
Smothered Gouda and
Bacon Chicken (milk)
Baked Potato Bar (items on
bar may contain allergens)
Assorted Desserts","Fish Tacos (fish, wheat)
Grilled Cheese (wheat, milk)
Grilled Ham and Cheese
(wheat, milk)
Curly Fries (wheat)
Assorted Desserts",,
"Ham Steak (GF)
Italian Meatball Sandwich
(wheat, soy, milk)
Potato Soufflé (wheat, milk, soy,
egg)
Assorted Desserts","Chicken and Beef Tacos
(shells contain wheat)
Black Beans (GF)
Refried Beans (GF)
Assorted Desserts","Beef Sirloin (Rotisserie
Style) (GF)
Parsley Buttered Redskin
Potatoes (milk) (GF)
Tricolor Cheese Tortellini
(wheat, milk, egg)
Assorted Desserts","Breakfast for Dinner
Cinnamon Swirl French
Toast (wheat, egg, milk)
Scrambled Eggs (egg) (GF)
Biscuits and Gravy (wheat,
milk, soy)
Smoked Pork Chops (GF)
Breakfast Potatoes (GF)
Assorted Bakery","Homemade Meatloaf (wheat,
egg)
White Fish (fish) (GF)
Candied Carrots  (GF)
Assorted Desserts",,
