Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery",,
"Chicken Chimichanga (dairy,
soy, wheat)
Asian Chicken Salad (wheat,
soy)
Nachos (milk) (GF)
Frito Pie (milk) (GF)
Assorted Desserts","Peppered Turkey and
Cheese Sandwich (milk,
wheat)
Tator Tot Casserole (wheat,
soy, milk)
Assorted Desserts","Keweenaw Bowl (wheat,
milk, soy)
Assorted Desserts","Chicken Caesar Wrap
(wheat, milk, fish, egg, soy)
Reuben Sandwich (wheat,
milk, soy, egg)
Rachel Sandwich (wheat,
milk, soy, egg)
Curly Fries (wheat)
Assorted Desserts","Chicken and Dumplings
(wheat, milk, soy, egg)
Cheese Quesadilla (wheat,
milk)
Tex Mex Bowl  (milk) (GF)
Assorted Desserts",,
"Grilled Chicken Sandwich
(wheat, milk, soy)
Beef Sirloin Tips over Egg
Noodles (wheat, soy, eggs)
Assorted Desserts","Chicken Parmesan (soy,
wheat, milk)
Mostaccioli Pasta (egg,
wheat)
Garlic Bread (wheat, milk)
Mixed Sausage Grill (GF)
Assorted Desserts","Country Style BBQ Ribs
Garlic Mashed Potatoes
(milk)
Potato Cheddar Breaded
Cod (milk, fish, wheat, soy)
Assorted Desserts","Mongolian Beef and
Broccoli (wheat, soy)
Orange Chicken (wheat,
soy)
Rice
Chef Vegetables
Assorted Desserts","Breaded Cod (wheat, soy, egg,
milk, fish)
Vegetable Dumpling (wheat,
soy)
Steak Fries (GF)
Chicken Cordon Bleu (wheat,
milk)
Assorted Desserts",,
