Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery","Continental Breakfast
Assorted Bakery",,
"Korean BBQ ( milk, wheat, soy)
Dixieland Cuban Sandwich
(wheat, dairy)
Jalapeno Potato Bites (wheat,
milk)
Assorted Desserts","Quiche (milk, egg, soy)
Bavarian Ham and Cheddar
on a Pretzel Roll (wheat,
milk)
Au Gratin Potatoes (wheat,
milk)
Assorted Desserts","Chicken Pot Pie (milk,
wheat)
Vegetable Pot Pie (milk,
wheat)
BBQ Beef Sandwich ( bun
contains – wheat, milk and
soy)
Tator Tots (GF)
Assorted Desserts","Chicken Tappers (wheat,
egg, soy)
Black Forest Sandwich
(wheat, dairy, soy, egg)
Couscous (wheat)
Assorted Desserts","Keweenaw Bowl (wheat,
milk)
Pho Bar (soy)
Assorted Desserts",,
"Fried Chicken ( egg, soy, wheat)
Mac & Cheese (wheat, milk)
Andouille Beans (GF)
Assorted Desserts","Chicken Quesadillas (wheat,
milk)
Cheese Quesadillas (wheat,
milk)
Corn (GF)
Spanish Rice (GF)
Assorted Desserts","Carved Pork Loin (GF)
Warm Apple Slices (GF)
Mashed Potatoes (milk)
Gravy (milk, soy, wheat)
Baked Ziti (wheat, milk,
eggs)
Assorted Desserts","Spaghetti and Meatballs
(wheat, egg, milk)
Italian Sausage
Spiral Cut Vegetables
Marinara Cream Sauce
(milk)
Tomato Basil Sauce (GF)
Italian Vegetables
Bread Sticks (wheat)
Assorted Desserts","Thai Salmon* (GF)
Egg Rolls (wheat, soy)
Crab Rangoon (shellfish,
wheat, soy, milk)
Sesame Chicken (wheat, soy)
Rice (GF)
Chef Vegetables
Assorted Desserts",,
